,tipo,grupo
0,Leche,Alimentos Frescos
1,Crema,Productos de Limpieza y Hogar
2,Tortillas,Productos de Panadería y Cereal
3,Aceite,Alimentos Secos y Enlatados
4,Azúcar,Alimentos Secos y Enlatados
5,Tocinetas,Alimentos Frescos
6,Papas,Snacks y Golosinas
7,Arroz,Alimentos Secos y Enlatados
8,Mantequilla,Alimentos Frescos
9,Margarina,Productos de Panadería y Cereal
10,Huevos,'Alimentos Frescos'
11,Detergente,Productos de Limpieza y Hogar
12,Pan,Productos de Panadería y Cereal
13,Panecillo,Productos de Panadería y Cereal
14,Queso,Alimentos Frescos
15,Papel,No aplica
16,Atún,Alimentos Secos y Enlatados
17,Planos,No aplica
18,Integrales,Productos de Panadería y Cereal
19,Gruesos,Alimentos Frescos
20,Espaguetis,Productos de Panadería y Cereal
21,Pechuga,Alimentos Frescos
22,Salsa,Alimentos Secos y Enlatados
23,Sal,Alimentos Secos y Enlatados
24,Cristales,No Aplica
25,Harina,Productos de Panadería y Cereal
26,Chocolate,Snacks y Golosinas
27,Vino,Bebidas
28,Jamón,Alimentos Frescos
29,Nachos,Snacks y Golosinas
30,Quesillo,Alimentos Frescos
31,Quesito,Alimentos Frescos
32,Cuajada,Alimentos Frescos
33,Almendras,Alimentos Secos y Enlatados
34,Helado,Congelados
35,Jabón,Productos de Limpieza y Hogar
36,Champú,Cuidado Personal
37,Café,'Bebidas'
38,Cerveza,Bebidas
39,Blanqueador,Productos de Limpieza y Hogar
40,Panela,'Alimentos Frescos'
41,Camarones,Alimentos Frescos
42,Servilletas,Productos de Limpieza y Hogar
43,Mayonesa,'Alimentos Frescos'
44,Galletas,Productos de Panadería y Cereal
45,Avena,Productos de Panadería y Cereal
46,Cereal,Productos de Panadería y Cereal
47,Cereales,Productos de Panadería y Cereal
48,Hojuelas,Productos de Panadería y Cereal
49,Relleno,Productos de Panadería y Cereal
50,Granola,Productos de Panadería y Cereal
51,Salchichas,Alimentos Frescos
52,Arepas,Productos de Panadería y Cereal
53,Bistec,Alimentos Frescos
54,Carne,Alimentos Frescos
55,Chata,Productos de Limpieza y Hogar
56,Huevo,Alimentos Frescos
57,Morrillo,Alimentos Frescos
58,Pecho,Alimentos Frescos
59,Posta,Alimentos Frescos
60,Punta,No Aplica
61,Solomito,Alimentos Frescos
62,Solomo,Alimentos Frescos
63,Tabla,No aplica
64,Tableado,Productos de Panadería y Cereal
65,Yogur,Alimentos Frescos
66,Entero,Alimentos Frescos
67,Maíz,Alimentos Frescos
68,Aguardiente,Bebidas
69,Mortadelas,'Alimentos Frescos'
70,Suavizante,Productos de Limpieza y Hogar
71,Fríjoles,'Alimentos Secos y Enlatados'
72,Mini,No aplica
73,Arena,Mascotas
74,Miel,'Alimentos Frescos'
75,Gel,'Cuidado Personal'
76,Jugo,Bebidas
77,Gaseosa,Bebidas
78,Agua,Bebidas
79,Refresco,Bebidas
80,Zanahoria,Alimentos Frescos
81,Bocaditos,'Snacks y Golosinas'
82,Arequipe,Alimentos frescos
83,Hamburguesas,Alimentos Congelados
84,Papa,Alimentos Frescos
85,Brownies,Productos de Panadería y Cereal
86,Gelatina,Snacks y Golosinas
87,Polvo,Productos de Limpieza y Hogar
88,Pasabocas,Snacks y Golosinas
89,Bebida,Bebidas
90,Chorizos,Alimentos Frescos
91,Pasta,Alimentos Secos y Enlatados
92,Mermelada,Alimentos Frescos
93,Mostaza,'Alimentos Secos y Enlatados'
94,Maní,Snacks y Golosinas
95,Bicarbonato,Productos de Limpieza y Hogar
96,Esencia,Productos de Limpieza y Hogar
97,Mezcla,Alimentos Secos y Enlatados
98,Desodorante,Cuidado Personal
99,Chocolatina,Snacks y Golosinas
100,Bombón,Snacks y Golosinas
101,Bolita,Mascotas
102,Champiñon,Alimentos Frescos
103,Pañales,Productos para Bebés
104,Toallas,Productos de Limpieza y Hogar
105,Alimento,Alimentos Frescos
106,Ponqués,Productos de Panadería y Cereal
107,Aguacate,Alimentos Frescos
108,Duraznos,Alimentos Frescos
109,Manzana,Alimentos frescos
110,Gofres,Productos de Panadería y Cereal
111,Tocino,'Alimentos Frescos'
112,Cebolla,Alimentos Frescos
113,Lasaña,Congelados
114,Bolsas,Productos de Limpieza y Hogar
115,Paños,Productos de Limpieza y Hogar
116,Muslos,Alimentos Frescos
117,Protectores,Productos de Salud y Farmacia
118,Platos,Otros Artículos de Cocina y Hogar
119,Sardinas,Alimentos Secos y Enlatados
120,Filete,Alimentos Frescos
121,Limpiador,Productos de Limpieza y Hogar
122,Chili,Alimentos Secos y Enlatados
123,Banano,Alimentos Frescos
124,Vinagre,Alimentos Secos y Enlatados
125,Palitos,Snacks y Golosinas
126,Acondicionador,'Cuidado Personal'
127,Cepillo,Cuidado Personal
128,Aceitunas,Alimentos Frescos
129,Coctel,Bebidas
130,Ambientador,Productos de Limpieza y Hogar
131,Fórmula,Productos para Bebés
132,Removedor,Productos de Limpieza y Hogar
133,Suero,Productos de Limpieza y Hogar
134,Torta,Productos de Panadería y Cereal
135,Té,Bebidas
136,Arándanos,Alimentos Frescos
137,Protector,Productos de Limpieza y Hogar
138,Enjuague,Cuidado Personal
139,Canela,Productos de Panadería y Cereal
140,Máquina,No aplica
141,Empanadas,Productos de Panadería y Cereal
142,Fécula,'Alimentos Secos y Enlatados'
143,Kumis,Bebidas
144,Limpiavidrios,Productos de Limpieza y Hogar
145,Caldo,Alimentos Secos y Enlatados
146,Alcohol,Bebidas
147,Esponja,Productos de Limpieza y Hogar
148,Pimienta,Alimentos Secos y Enlatados
149,Lechuga,Alimentos Frescos
150,Talco,Cuidado Personal
151,Bocados,Snacks y Golosinas
152,Escoba,Productos de Limpieza y Hogar
153,Chuzos,'Alimentos Frescos'
154,Tostadas,Productos de Panadería y Cereal
155,Bocadillos,Snacks y Golosinas
156,Champiñones,Alimentos Frescos
157,Macarrones,Alimentos Secos y Enlatados
158,Ciruelas,Alimentos Frescos
159,Desmanchador,Productos de Limpieza y Hogar
160,Aromática,Bebidas
161,Espuma,Productos de Limpieza y Hogar
162,Perejil,Alimentos Frescos
163,Años,No aplica
164,Tampones,Cuidado Personal
165,Espinaca,Alimentos Frescos
166,Trapeador,Productos de Limpieza y Hogar
167,Ron,Bebidas
168,Trufas,Snacks y Golosinas
169,Albahaca,Alimentos Frescos
170,Brócoli,'Alimentos Frescos'
171,Alcaparras,'Alimentos Frescos'
172,Cerezas,Alimentos Frescos
173,Palomitas,Snacks y Golosinas
174,Vegetales,Alimentos Frescos
175,Paño,Productos de Limpieza y Hogar
176,Zumo,Bebidas
177,Caramelo,Snacks y Golosinas
178,Chips,Snacks y Golosinas
179,Menta,Cuidado Personal
180,Tequila,Bebidas
181,Soya,'Alimentos Frescos'
182,Compota,Alimentos Frescos
183,Naranja,Alimentos Frescos
184,Barra,Productos de Panadería y Cereal
185,Desmaquillantes,Cuidado Personal
186,Néctar,Bebidas
187,Eliminador,Productos de Limpieza y Hogar
188,Coloración,Cuidado Personal
