,nombre,marca,presentacion,precio,lugar
0,Leche Larga Vida Descremada,Alquería,1 000 ml,3 970 $,Éxito
1,Leche Larga Vida Descremada Deslactosada,Finesse,3 300 ml,10 590 $,Éxito
2,Leche Pasteurizada Descremada,Colanta,1 000 ml,2 280 $,Éxito
3,Leche Larga Vida Descremada Deslactosada,Alpina,1 000 ml,7 520 $,Éxito
4,Leche Larga Vida Descremada Deslactosada,Alpina, 200 ml,2 564 $,Éxito
5,Leche Larga Vida Descremada Deslactosada,Alpina,3 600 ml,20 245 $,Éxito
6,Leche Larga Vida Descremada Deslactosada,Alpina,1 000 ml,4 310 $,Éxito
7,Leche Larga Vida Descremada Deslactosada,Alpina,6 600 ml,21 150 $,Éxito
8,Leche Larga Vida Semidescremada Deslactosada,Alquería,6 600 ml,16 080 $,Éxito
9,Leche Larga Vida Semidescremada Deslactosada,Alquería,1 000 ml,4 200 $,Éxito
10,Leche Larga Vida Semidescremada Deslactosada,Zymil,6 600 ml,16 390 $,Éxito
11,Leche Larga Vida Semidescremada Deslactosada,Colanta,1 200 ml,4 180 $,Éxito
12,Leche Larga Vida Semidescremada Deslactosada,Colanta,5 400 ml,18 050 $,Éxito
13,Leche Larga Vida Descremada Deslactosada,Alquería,6 600 ml,21 400 $,Éxito
14,Leche Larga Vida Semidescremada Deslactosada,Alquería, 675 ml,3 160 $,Éxito
15,Leche Larga Vida Entera,Éxito,6 600 ml,17 050 $,Éxito
16,Leche Larga Vida Entera,Alpina,4 000 ml,16 200 $,Éxito
17,Leche Larga Vida Entera,Alquería,6 600 ml,19 150 $,Éxito
18,Leche Larga Vida Entera,Parmalat,6 600 ml,20 750 $,Éxito
19,Leche Larga Vida Entera,Colanta,1 200 ml,4 060 $,Éxito
20,Leche Larga Vida Entera,Alquería, 675 ml,3 690 $,Éxito
21,Leche Larga Vida Descremada Deslactosada,Finesse,1 000 ml,3 656 $,Éxito
22,Leche Larga Vida Semidescremada,Alquería,1 200 ml,4 400 $,Éxito
23,Leche Larga Vida Semidescremada Deslactosada,Colanta,6 600 ml,17 050 $,Éxito
24,Leche Larga Vida Semidescremada,Éxito,5 400 ml,11 620 $,Éxito
25,Leche Pasteurizada Semidescremada Deslactosada,Colanta,6 300 ml,16 200 $,Éxito
26,Leche Pasteurizada Descremada,Colanta,5 400 ml,19 150 $,Éxito
27,Leche Larga Vida Descremada Deslactosada,Colanta,6 300 ml,20 450 $,Éxito
28,Leche Larga Vida Entera,Ekono,4 500 ml,7 800 $,Éxito
29,Leche Larga Vida Descremada,Alquería,6 600 ml,20 750 $,Éxito
30,Leche Larga Vida Semidescremada Deslactosada,Alquería,6 600 ml,18 000 $,Éxito
31,Leche Larga Vida Entera,Colanta,6 300 ml,19 250 $,Éxito
32,Leche Larga Vida Descremada,Alquería,7 800 ml,25 850 $,Éxito
33,Leche Pasteurizada Entera,Colanta,1 000 ml,2 250 $,Éxito
34,Leche Pasteurizada Semidescremada Deslactosada,Colanta,1 000 ml,1 744 $,Éxito
35,Leche Pasteurizada Entera,Colanta,5 400 ml,11 360 $,Éxito
36,Leche Larga Vida Semidescremada Deslactosada,Alpina,4 000 ml,16 400 $,Éxito
37,Leche Larga Vida Semidescremada Deslactosada,Alquería,7 800 ml,25 500 $,Éxito
38,Leche Larga Vida Entera,Alquería,6 600 ml,39 150 $,Éxito
39,Leche Larga Vida Entera,Alquería,7 800 ml,41 900 $,Éxito
40,Leche Larga Vida Entera,Alquería,1 000 ml,7 450 $,Éxito
41,Leche Larga Vida Semidescremada Deslactosada,Éxito,5 400 ml,21 480 $,Éxito
42,Leche Larga Vida Semidescremada,Colanta,6 600 ml,36 400 $,Éxito
43,Crema de Leche Dietética,Alquería, 225 g,2 656 $,Éxito
44,Crema de Leche,Alquería, 225 g,2 528 $,Éxito
45,Crema de Leche,Nestlé, 186 g,4 680 $,Éxito
46,Crema de Leche,Alquería, 200 g,2 200 $,Éxito
47,Crema de Leche,Nestlé, 150 g,1 958 $,Éxito
48,Crema de Leche,Nestlé, 295 g,6 910 $,Éxito
49,Crema de Leche,Parmalat, 295 g,6 680 $,Éxito
50,Crema de Leche,Parmalat,1 050 g,16 750 $,Éxito
51,Crema de Leche,Parmalat, 210 g,3 240 $,Éxito
52,Crema de Leche,Colanta, 500 g,12 100 $,Éxito
53,Crema de Leche,Alpina, 210 g,2 680 $,Éxito
54,Crema de Leche Dietética,Alpina, 210 g,3 520 $,Éxito
55,Crema de Leche,Alpina, 210 g,3 190 $,Éxito
56,Crema de Leche Dietética,Alquería, 200 g,2 940 $,Éxito
57,Crema de Leche,Nestlé, 90 g,1 260 $,Éxito
58,Crema de Leche,Alquería, 900 g,16 838 $,Éxito
59,Tortillas,Bimbo, 580 g,10 480 $,Éxito
60,Tortillas para Fajitas,Azteca, 240 g,6 040 $,Éxito
61,Tortillas,Azteca, 310 g,6 740 $,Éxito
62,Tortillas,Azteca, 400 g,8 240 $,Éxito
63,Tortillas Integrales,Bimbo, 180 g,4 760 $,Éxito
64,Tortillas,Azteca, 580 g,8 990 $,Éxito
65,Tortillas para Burritos,Old El Paso, 311 g,9 990 $,Éxito
66,Tortillas,Sary, 480 g,4 900 $,Éxito
67,Tortillas,haz de oros, 360 g,8 650 $,Éxito
68,Tortillas,Tía Rosa, 210 g,6 110 $,Éxito
69,Tortillas para Burritos,Bimbo, 500 g,9 420 $,Éxito
70,Tortillas Integrales,Bimbo, 250 g,5 850 $,Éxito
71,Tortillas,Bimbo, 450 g,8 500 $,Éxito
72,Tortillas,haz de oros, 435 g,9 000 $,Éxito
73,Aceite de Canola,Gourmet,1 000 ml,17 150 $,Éxito
74,Aceite de Canola,Canola Life,2 000 ml,32 850 $,Éxito
75,Aceite de Ajonjolí con Ac. de Soya,Lee Kum Kee, 207 ml,17 650 $,Éxito
76,Aceite de Canola,Éxito, 946 ml,14 050 $,Éxito
77,Aceite de Canola,Taeq, 946 ml,15 100 $,Éxito
78,Aceite de Maíz,Éxito,1 000 ml,6 560 $,Éxito
79,Aceite de Oliva Extra Virgen,Éxito,1 000 ml,27 550 $,Éxito
80,Aceite de Oliva Extra Virgen,Éxito, 500 ml,11 500 $,Éxito
81,Aceite de Oliva Extra Virgen,Hacienda Guzmán,1 000 ml,25 000 $,Éxito
82,Aceite de Oliva Extra Virgen,Sublime, 250 ml,12 900 $,Éxito
83,Aceite de Oliva Extra Virgen,Sublime, 500 ml,23 950 $,Éxito
84,Aceite de Oliva Extra Virgen con Oregano,Pomona, 250 ml,10 100 $,Éxito
85,Aceite de Oliva Extra Virgen Intenso,Olivetto,1 000 ml,40 700 $,Éxito
86,Aceite de Oliva Extra Virgen Intenso,Olivetto, 250 ml,19 650 $,Éxito
87,Aceite de Oliva Extra Virgen Suave,Olivetto,1 000 ml,50 800 $,Éxito
88,Aceite de Oliva Extra Virgen,Carbonell, 750 ml,27 600 $,Éxito
89,Aceite de Oliva Extra Virgen,Bucatti, 500 ml,31 400 $,Éxito
90,Aceite de Oliva,Sublime, 500 ml,19 950 $,Éxito
91,Aceite de Oliva,Sublime, 140 ml,7 890 $,Éxito
92,Aceite de Oliva,Carbonell, 500 ml,25 000 $,Éxito
93,Aceite de Oliva Extra Virgen,Sublime,1 000 ml,50 300 $,Éxito
94,Aceite Vegetal,Oliosoya, 500 ml,3 880 $,Éxito
95,Aceite Vegetal,Riquísimo,3 000 ml,18 800 $,Éxito
96,Aceite de Girasol,Éxito,5 000 ml,43 200 $,Éxito
97,Aceite de Girasol,Éxito,2 000 ml,15 500 $,Éxito
98,Aceite de Girasol,Gourmet,2 000 ml,22 600 $,Éxito
99,Aceite de Girasol,Gourmet,1 000 ml,11 490 $,Éxito
100,Aceite de Girasol,Gourmet,3 000 ml,38 700 $,Éxito
101,Aceite de Girasol,Gourmet,5 000 ml,59 100 $,Éxito
102,Aceite de Girasol Reducido en Grasas Saturadas,Gourmet,1 000 ml,14 200 $,Éxito
103,Aceite de Girasol Reducido en Grasas Saturadas,Gourmet,3 000 ml,45 243 $,Éxito
104,Aceite de Girasol,Girasoli, 900 ml,8 120 $,Éxito
105,Aceite de Canola,Gourmet,2 000 ml,33 400 $,Éxito
106,Aceite Vegetal,Riquísimo,5 000 ml,36 900 $,Éxito
107,Aceite Vegetal,Oleocali,5 000 ml,36 200 $,Éxito
108,Aceite Vegetal,Oleocali,1 000 ml,6 320 $,Éxito
109,Aceite Vegetal,Oleocali,3 000 ml,18 760 $,Éxito
110,Aceite Vegetal,Oliosoya, 900 ml,5 940 $,Éxito
111,Aceite de Oliva,Sublime, 250 ml,11 690 $,Éxito
112,Aceite de Oliva Extra Virgen,Hacienda Guzmán, 500 ml,14 950 $,Éxito
113,Aceite de Oliva Extra Virgen,Hacienda Guzmán, 750 ml,21 450 $,Éxito
114,Aceite de Oliva Extra Virgen,Borges, 250 ml,14 300 $,Éxito
