,nombre,marca,presentacion,precio,lugar
0,Crema de Leche Dietética,Alquería, 225 g,2 656 $,Éxito
1,Crema de Leche,Alquería, 225 g,2 528 $,Éxito
2,Crema de Leche,Nestlé, 186 g,4 680 $,Éxito
3,Crema de Leche,Alquería, 200 g,2 200 $,Éxito
4,Crema de Leche,Nestlé, 150 g,1 958 $,Éxito
5,Crema de Leche,Nestlé, 295 g,6 910 $,Éxito
6,Crema de Leche,Parmalat, 295 g,6 680 $,Éxito
7,Crema de Leche,Parmalat,1 050 g,16 750 $,Éxito
8,Crema de Leche,Parmalat, 210 g,3 240 $,Éxito
9,Crema de Leche,Colanta, 500 g,12 100 $,Éxito
10,Crema de Leche,Alpina, 210 g,2 680 $,Éxito
11,Crema de Leche Dietética,Alpina, 210 g,3 520 $,Éxito
12,Crema de Leche,Alpina, 210 g,3 190 $,Éxito
13,Crema de Leche Dietética,Alquería, 200 g,2 940 $,Éxito
14,Crema de Leche,Nestlé, 90 g,1 260 $,Éxito
15,Crema de Leche,Alquería, 900 g,16 838 $,Éxito
16,Aceite de Canola,Gourmet,1 000 ml,17 150 $,Éxito
17,Aceite de Canola,Canola Life,2 000 ml,32 850 $,Éxito
18,Aceite de Ajonjolí con Ac. de Soya,Lee Kum Kee, 207 ml,17 650 $,Éxito
19,Aceite de Canola,Éxito, 946 ml,14 050 $,Éxito
20,Aceite de Canola,Taeq, 946 ml,15 100 $,Éxito
21,Aceite de Maíz,Éxito,1 000 ml,6 560 $,Éxito
22,Aceite de Oliva Extra Virgen,Éxito,1 000 ml,27 550 $,Éxito
23,Aceite de Oliva Extra Virgen,Éxito, 500 ml,11 500 $,Éxito
24,Aceite de Oliva Extra Virgen,Hacienda Guzmán,1 000 ml,25 000 $,Éxito
25,Aceite de Oliva Extra Virgen,Sublime, 250 ml,12 900 $,Éxito
26,Aceite de Oliva Extra Virgen,Sublime, 500 ml,23 950 $,Éxito
27,Aceite de Oliva Extra Virgen con Oregano,Pomona, 250 ml,10 100 $,Éxito
28,Aceite de Oliva Extra Virgen Intenso,Olivetto,1 000 ml,40 700 $,Éxito
29,Aceite de Oliva Extra Virgen Intenso,Olivetto, 250 ml,19 650 $,Éxito
30,Aceite de Oliva Extra Virgen Suave,Olivetto,1 000 ml,50 800 $,Éxito
31,Aceite de Oliva Extra Virgen,Carbonell, 750 ml,27 600 $,Éxito
32,Aceite de Oliva Extra Virgen,Bucatti, 500 ml,31 400 $,Éxito
33,Aceite de Oliva,Sublime, 500 ml,19 950 $,Éxito
34,Aceite de Oliva,Sublime, 140 ml,7 890 $,Éxito
35,Aceite de Oliva,Carbonell, 500 ml,25 000 $,Éxito
36,Aceite de Oliva Extra Virgen,Sublime,1 000 ml,50 300 $,Éxito
37,Aceite Vegetal,Oliosoya, 500 ml,3 880 $,Éxito
38,Aceite Vegetal,Riquísimo,3 000 ml,18 800 $,Éxito
39,Aceite de Girasol,Éxito,5 000 ml,43 200 $,Éxito
40,Aceite de Girasol,Éxito,2 000 ml,15 500 $,Éxito
41,Aceite de Girasol,Gourmet,2 000 ml,22 600 $,Éxito
42,Aceite de Girasol,Gourmet,1 000 ml,11 490 $,Éxito
43,Aceite de Girasol,Gourmet,3 000 ml,38 700 $,Éxito
44,Aceite de Girasol,Gourmet,5 000 ml,59 100 $,Éxito
45,Aceite de Girasol Reducido en Grasas Saturadas,Gourmet,1 000 ml,14 200 $,Éxito
46,Aceite de Girasol Reducido en Grasas Saturadas,Gourmet,3 000 ml,45 243 $,Éxito
47,Aceite de Girasol,Girasoli, 900 ml,8 120 $,Éxito
48,Aceite de Canola,Gourmet,2 000 ml,33 400 $,Éxito
49,Aceite Vegetal,Riquísimo,5 000 ml,36 900 $,Éxito
50,Aceite Vegetal,Oleocali,5 000 ml,36 200 $,Éxito
51,Aceite Vegetal,Oleocali,1 000 ml,6 320 $,Éxito
52,Aceite Vegetal,Oleocali,3 000 ml,18 760 $,Éxito
53,Aceite Vegetal,Oliosoya, 900 ml,5 940 $,Éxito
54,Aceite de Oliva,Sublime, 250 ml,11 690 $,Éxito
55,Aceite de Oliva Extra Virgen,Hacienda Guzmán, 500 ml,14 950 $,Éxito
56,Aceite de Oliva Extra Virgen,Hacienda Guzmán, 750 ml,21 450 $,Éxito
57,Aceite de Oliva Extra Virgen,Borges, 250 ml,14 300 $,Éxito
58,Aceite de Oliva Extra Virgen con Ajo,Pomona, 250 ml,10 100 $,Éxito
59,Aceite de Oliva Extra Virgen,Taeq, 500 ml,14 300 $,Éxito
60,Aceite de Oliva,Hacienda Guzmán, 500 ml,15 900 $,Éxito
61,Aceite de Oliva,Éxito, 500 ml,13 450 $,Éxito
62,Aceite de Oliva Extra Virgen,Hacienda Guzmán, 250 ml,9 900 $,Éxito
63,Aceite de Oliva Extra Virgen con Ajo,Hacienda Guzmán, 250 ml,12 490 $,Éxito
64,Aceite de Oliva Extra Virgen con Oregano,Hacienda Guzmán, 250 ml,12 490 $,Éxito
65,Aceite de Oliva Extra Virgen,Olivetto, 500 ml,24 600 $,Éxito
66,Aceite de Girasol,Premier,1 000 ml,11 010 $,Éxito
67,Aceite de Girasol,Premier,5 000 ml,50 200 $,Éxito
68,Aceite de Canola,Premier,3 000 ml,29 500 $,Éxito
69,Aceite de Canola,Premier,1 000 ml,14 650 $,Éxito
70,Aceite de Girasol Reducido en Grasas Saturadas,Premier,1 000 ml,12 250 $,Éxito
71,Aceite de Girasol Reducido en Grasas Saturadas,Premier,3 000 ml,35 200 $,Éxito
72,Aceite de Canola,Éxito,3 000 ml,26 136 $,Éxito
73,Aceite Vegetal,Éxito, 900 ml,5 430 $,Éxito
74,Aceite Vegetal,Éxito, 500 ml,2 650 $,Éxito
75,Aceite de Canola,Wesson,1 890 ml,24 200 $,Éxito
76,Aceite de Canola,Gourmet,3 500 ml,45 700 $,Éxito
77,Aceite Vegetal,Oleocali, 900 ml,6 150 $,Éxito
78,Aceite de Canola,Canola Life,2 500 ml,31 550 $,Éxito
79,Aceite de Oliva Extra Virgen Suave,Olivetto, 500 ml,24 600 $,Éxito
80,Aceite de Girasol,Éxito, 900 ml,5 440 $,Éxito
81,Aceite de Canola,Gourmet,3 000 ml,31 360 $,Éxito
82,Aceite de Girasol,Éxito,3 000 ml,19 350 $,Éxito
83,Aceite de Oliva Extra Virgen,Hacienda Guzmán,2 000 ml,52 500 $,Éxito
84,Aceite Vegetal,Frescampo,3 000 ml,13 890 $,Éxito
85,Aceite Vegetal,Riquísimo,1 000 ml,6 480 $,Éxito
86,Aceite de Girasol,Girasoli,3 000 ml,29 700 $,Éxito
87,Aceite Vegetal,Éxito,3 000 ml,16 750 $,Éxito
88,Aceite Vegetal,Oliosoya,3 000 ml,17 671 $,Éxito
89,Aceite de Girasol,Premier,3 500 ml,27 650 $,Éxito
90,Aceite de Girasol,Premier,3 000 ml,27 650 $,Éxito
91,Aceite de Maíz,Éxito,3 000 ml,19 050 $,Éxito
92,Aceite de Oliva,Sublime, 500 ml,19 600 $,Éxito
93,Azúcar Blanca,Manuelita,1 000 g,3 170 $,Éxito
94,Azúcar Blanca,Manuelita,2 000 g,6 410 $,Éxito
95,Azúcar Blanca,Manuelita,5 000 g,16 600 $,Éxito
96,Azúcar Blanca,Incauca,1 000 g,2 950 $,Éxito
97,Azúcar Blanca,Ekono, 650 g,1 920 $,Éxito
98,Azúcar Blanca,Éxito,1 000 g,2 720 $,Éxito
99,Azúcar Blanca,Éxito,2 500 g,5 980 $,Éxito
100,Azúcar Blanca,Éxito, 500 g,1 400 $,Éxito
101,Azúcar Blanca,Éxito,5 000 g,13 300 $,Éxito
102,Azúcar Blanca Dietética,Éxito, 454 g,3 620 $,Éxito
103,Azúcar Blanca Dietética con Estevia,Incauca, 850 g,6 700 $,Éxito
104,Azúcar Blanca,Incauca,2 500 g,6 590 $,Éxito
105,Azúcar Blanca,Riopaila,2 500 g,9 000 $,Éxito
106,Azúcar Blanca,Riopaila,1 000 g,3 020 $,Éxito
107,Azúcar Blanca Dietética con Estevia,Incauca, 454 g,4 410 $,Éxito
108,Azúcar Blanca Dietética con Estevia,Incauca, 850 g,5 590 $,Éxito
109,Azúcar Blanca Dietética con Sucralosa,Riopaila, 850 g,6 010 $,Éxito
110,Azúcar Blanca Dietética con Estevia,Incauca, 750 g,4 990 $,Éxito
111,Azúcar Blanca Dietética con Estevia,Incauca, 750 g,6 510 $,Éxito
112,Azúcar Morena Dietética con Estevia,Incauca, 454 g,3 290 $,Éxito
113,Azúcar Morena Dietética con Estevia,Manuelita, 850 g,4 590 $,Éxito
114,Azúcar Morena Dietética con Estevia,Incauca, 850 g,5 390 $,Éxito
115,Azúcar Blanca Dietética con Estevia,Incauca, 750 g,6 660 $,Éxito
116,Azúcar Blanca Dietética con Estevia,Incauca, 250 g,3 990 $,Éxito
117,Azúcar Blanca Dietética con Estevia,Manuelita, 850 g,4 990 $,Éxito
118,Azúcar Blanca Dietética con Estevia,Manuelita, 454 g,2 890 $,Éxito
119,Azúcar Morena,Incauca,1 000 g,2 790 $,Éxito
120,Azúcar Morena,Manuelita,1 000 g,3 300 $,Éxito
121,Azúcar Morena,Éxito,2 500 g,7 110 $,Éxito
122,Azúcar Morena,Éxito,1 000 g,2 650 $,Éxito
123,Azúcar Morena,Éxito,5 000 g,14 550 $,Éxito
124,Azúcar Morena Dietética con Estevia,Manuelita, 454 g,3 230 $,Éxito
125,Azúcar Morena Dietética con Sucralosa,Riopaila, 850 g,6 410 $,Éxito
126,Azúcar Morena Dietética con Estevia,Incauca, 750 g,6 890 $,Éxito
127,Azúcar Morena,Manuelita,2 000 g,6 910 $,Éxito
128,Azúcar Orgánica,Providencia, 850 g,3 190 $,Éxito
129,Azúcar Orgánica,Providencia, 454 g,2 230 $,Éxito
130,Azúcar Morena,Providencia,1 000 g,3 320 $,Éxito
131,Azúcar Blanca Pulverizada,Colombina, 500 g,3 030 $,Éxito
132,Azúcar Blanca,Incauca,1 000 g,4 740 $,Éxito
133,Azúcar Morena Dietética con Estevia,Incauca, 850 g,6 640 $,Éxito
134,Azúcar Blanca,Manuelita,1 000 g,4 980 $,Éxito
135,Azúcar Morena,Incauca,2 500 g,4 550 $,Éxito
136,Arroz Blanco,Arroz 10,2 500 g,8 810 $,Éxito
137,Arroz Blanco,Arroz 10,1 000 g,3 790 $,Éxito
138,Arroz Blanco,Diana,3 000 g,8 690 $,Éxito
139,Arroz Blanco,Roa,3 000 g,8 700 $,Éxito
140,Arroz Blanco de Muy Alta Calidad,Castellano,2 500 g,17 800 $,Éxito
141,Arroz Blanco de Muy Alta Calidad,Excelenze,1 000 g,5 710 $,Éxito
142,Arroz Blanco de Muy Alta Calidad,Caribe,5 000 g,21 900 $,Éxito
143,Arroz Blanco,Sonora,5 000 g,14 460 $,Éxito
144,Arroz Blanco,Caribe,12 500 g,36 250 $,Éxito
145,Arroz Blanco,Caribe,1 000 g,2 900 $,Éxito
146,Arroz Blanco,Caribe,3 000 g,8 700 $,Éxito
147,Arroz Blanco,Caribe,5 000 g,14 500 $,Éxito
148,Arroz Blanco,Diana,1 000 g,3 200 $,Éxito
149,Arroz Blanco,Ekono,5 000 g,14 100 $,Éxito
150,Arroz Blanco,Arroz Marfil,5 000 g,16 050 $,Éxito
151,Arroz Blanco,Florhuila,1 000 g,3 000 $,Éxito
152,Arroz Blanco,Florhuila,3 000 g,8 700 $,Éxito
153,Arroz Blanco de Muy Alta Calidad,Platino,2 500 g,8 520 $,Éxito
154,Arroz Blanco,Arroz Marfil, 500 g,45 550 $,Éxito
155,Arroz Blanco de Muy Alta Calidad,Caribe,1 000 g,4 380 $,Éxito
156,Arroz Blanco de Muy Alta Calidad,Caribe,2 500 g,8 600 $,Éxito
157,Mantequilla con Sal,Rama, 500 g,7 190 $,Éxito
158,Mantequilla Liviana,Rama, 500 g,6 830 $,Éxito
159,Mantequilla,Karavansay, 200 g,23 400 $,Éxito
160,Mantequilla con Sal,Alpina, 125 g,3 990 $,Éxito
161,Mantequilla con Canola,Rama, 500 g,9 060 $,Éxito
162,Mantequilla con Sal,Campi, 250 g,4 580 $,Éxito
163,Mantequilla con Sal,Campi, 500 g,9 540 $,Éxito
164,Mantequilla,Rama, 125 g,1 860 $,Éxito
165,Mantequilla Liviana,Campi, 500 g,10 058 $,Éxito
166,Mantequilla Liviana,Rama, 500 g,9 690 $,Éxito
167,Mantequilla,Campi, 500 g,8 930 $,Éxito
168,Mantequilla,Ekono, 500 g,6 380 $,Éxito
169,Mantequilla Liviana,Rama, 250 g,5 570 $,Éxito
170,Mantequilla sin Sal,Alpina, 125 g,3 970 $,Éxito
171,Mantequilla sin Sal,Colanta, 250 g,6 110 $,Éxito
172,Mantequilla con Sal,Rama, 250 g,5 290 $,Éxito
173,Mantequilla con Sal,Rama, 500 g,9 180 $,Éxito
174,Mantequilla con Sal,Rama,1 000 g,17 300 $,Éxito
175,Margarina de Mesa y Cocina,Éxito, 500 g,5 510 $,Éxito
176,Margarina de Soya,Éxito, 227 g,4 870 $,Éxito
177,Margarina de Soya,Éxito, 500 g,8 440 $,Éxito
178,Margarina de Soya,Éxito, 907 g,10 390 $,Éxito
179,Margarina de Mesa y Cocina,La Fina, 250 g,3 770 $,Éxito
180,Margarina de Mesa y Cocina,La Fina, 500 g,6 790 $,Éxito
181,Margarina de Mesa y Cocina,Éxito, 125 g,1 830 $,Éxito
182,Margarina de Mesa y Cocina,Éxito, 250 g,3 510 $,Éxito
183,Mantequilla Liviana,Rama, 250 g,3 810 $,Éxito
184,Margarina de Mesa y Cocina,Rama, 500 g,7 440 $,Éxito
185,Margarina de Mesa y Cocina,La Fina, 500 g,6 080 $,Éxito
186,Mantequilla con Sal,Alpina, 250 g,8 240 $,Éxito
187,Arroz Blanco,Roa,1 000 g,2 900 $,Éxito
188,Arroz Blanco,Florhuila,5 000 g,14 500 $,Éxito
189,Arroz Blanco,Roa,5 000 g,21 900 $,Éxito
190,Arroz Blanco,Éxito,1 000 g,2 500 $,Éxito
191,Arroz Blanco de Muy Alta Calidad,Diana,2 500 g,18 450 $,Éxito
192,Arroz Blanco,Ekono,3 000 g,10 600 $,Éxito
193,Mantequilla sin Sal,Colanta, 500 g,11 760 $,Éxito
194,Arroz Blanco de Muy Alta Calidad,Castellano,1 000 g,10 400 $,Éxito
195,Arroz Blanco de Muy Alta Calidad,Diana,1 000 g,7 200 $,Éxito
196,Arroz Blanco,Diana,1 000 g,6 090 $,Éxito
197,Arroz Blanco de Muy Alta Calidad,Diana,4 000 g,31 250 $,Éxito
198,Arroz Blanco de Muy Alta Calidad,Platino,1 000 g,6 030 $,Éxito
199,Arroz Blanco,Diana,5 000 g,23 950 $,Éxito
200,Arroz Blanco,Éxito,5 000 g,18 900 $,Éxito
201,Huevos AA Rojos,Santa Anita, 12 unidades,5 841 $,Éxito
202,Huevos AA Rojos,Santa Anita, 24 unidades,11 750 $,Éxito
203,Huevos A Blancos,Éxito, 12 unidades,5 910 $,Éxito
204,Huevos AA Blancos,Éxito, 30 unidades,15 900 $,Éxito
205,Huevos AA Rojos,Huevos El Rancho, 30 unidades,13 950 $,Éxito
206,Huevos A Rojos,Santa Reyes, 18 unidades,12 400 $,Éxito
207,Huevos AA Rojos,Avinal, 15 unidades,8 613 $,Éxito
208,Huevos AAA Rojos,Avinal, 24 unidades,15 345 $,Éxito
209,Huevos A Rojos,Avinal, 12 unidades,6 400 $,Éxito
210,Huevos A Rojos,Éxito, 12 unidades,5 910 $,Éxito
211,Huevos AA Rojos,Ekono, 12 unidades,4 400 $,Éxito
212,Huevos AA Rojos,Avícola De Oriente, 12 unidades,5 920 $,Éxito
213,Huevos AA Rojos,Avinal, 24 unidades,12 028 $,Éxito
214,Huevos AA Rojos,Santa Reyes, 30 unidades,14 650 $,Éxito
215,Huevos AA Rojos,Avinal, 45 unidades,19 849 $,Éxito
216,Huevos AA Rojos,Avícola De Oriente, 6 unidades,2 950 $,Éxito
217,Huevos AAA Rojos,Avinal, 30 unidades,17 622 $,Éxito
218,Huevos AAA Rojos,Avinal, 12 unidades,6 979 $,Éxito
219,Huevos AA Rojos,Santa Reyes, 21 unidades,12 650 $,Éxito
220,Huevos AA Rojos,Avinal, 30 unidades,13 761 $,Éxito
221,Huevos AA Rojos,Avinal, 30 unidades,10 900 $,Éxito
222,Huevos AAA Rojos,Santa Anita, 24 unidades,12 600 $,Éxito
223,Queso Crema,Président, 125 g,6 990 $,Éxito
224,Queso Crema,Alpina, 200 g,2 584 $,Éxito
225,Queso Crema,Alpina, 380 g,5 610 $,Éxito
226,Queso Crema,Alpina, 200 g,3 610 $,Éxito
227,Queso Crema Dietético,Taeq, 200 g,4 390 $,Éxito
228,Queso Crema Dietético,Colanta, 230 g,5 200 $,Éxito
229,Queso Crema,Éxito, 200 g,2 790 $,Éxito
230,Queso Crema Dietético,Finesse, 200 g,5 230 $,Éxito
231,Queso Crema,El Zarzal, 380 g,6 000 $,Éxito
232,Queso Crema,Colanta, 400 g,6 340 $,Éxito
233,Queso Crema,Alpina, 380 g,4 080 $,Éxito
234,Atún en Lomitos en Aceite,Isabel, 350 g,10 640 $,Éxito
235,Atún en Lomitos en Aceite,Van Camp's, 640 g,22 700 $,Éxito
236,Atún en Lomitos en Aceite de Oliva,Van Camp's, 240 g,11 690 $,Éxito
237,Atún en Lomitos en Aceite de Oliva,Van Camp's, 160 g,7 300 $,Éxito
238,Atún en Lomitos en Aceite de Oliva,Éxito, 170 g,7 410 $,Éxito
239,Atún en Lomitos en Aceite de Oliva,Van Camp's, 200 g,16 050 $,Éxito
240,Atún en Lomitos en Agua con Limón,Van Camp's, 240 g,11 900 $,Éxito
241,Atún en Lomitos en Agua,Van Camp's, 240 g,11 900 $,Éxito
242,Atún en Lomitos en Agua,Isabel, 350 g,9 780 $,Éxito
243,Atún en Lomitos con Vegetales,Alamar, 160 g,4 530 $,Éxito
244,Atún en Lomitos en Aceite de Oliva,Van Camp's, 320 g,15 150 $,Éxito
245,Atún en Lomitos en Agua,Van Camp's, 160 g,4 990 $,Éxito
246,Atún en Lomitos en Agua,Van Camp's, 640 g,20 450 $,Éxito
247,Atún en Lomitos en Agua,Van Camp's, 354 g,13 850 $,Éxito
248,Atún en Lomitos en Aceite,Robinson Crusoe, 170 g,6 560 $,Éxito
249,Atún en Lomitos en Agua,Robinson Crusoe, 170 g,5 930 $,Éxito
250,Atún Esparcible,Isabel, 80 g,5 590 $,Éxito
251,Atún Rallado en Aceite,Ekono, 170 g,2 420 $,Éxito
252,Atún en Lomitos en Aceite,Isabel, 170 g,4 750 $,Éxito
253,Atún en Lomitos en Aceite de Oliva,Éxito, 240 g,10 120 $,Éxito
254,Atún en Lomitos con Vegetales,Isabel, 160 g,4 430 $,Éxito
255,Atún en Lomitos,Alamar, 170 g,10 040 $,Éxito
256,Atún en Lomitos en Agua,Isabel, 175 g,5 150 $,Éxito
257,Atún en Lomitos en Aceite,Éxito, 170 g,5 300 $,Éxito
258,Atún en Lomitos en Agua,Éxito, 170 g,3 633 $,Éxito
259,Atún en Lomitos en Agua con Limón,Alamar, 170 g,5 780 $,Éxito
260,Atún en Lomitos en Aceite,Isabel, 175 g,5 600 $,Éxito
261,Atún en Lomitos en Aceite de Oliva,Isabel, 240 g,14 950 $,Éxito
262,Atún en Lomitos en Aceite,Van Camp's, 240 g,11 100 $,Éxito
263,Atún en Lomitos en Agua,Isabel, 240 g,11 128 $,Éxito
264,Atún en Lomitos en Agua,Van Camp's, 240 g,11 390 $,Éxito
265,Atún en Lomitos en Aceite,Éxito, 240 g,9 990 $,Éxito
266,Atún en Lomitos en Agua,Éxito, 240 g,9 260 $,Éxito
267,Atún en Lomitos,Robinson Crusoe, 320 g,9 990 $,Éxito
268,Atún en Lomitos en Aceite,Robinson Crusoe, 320 g,12 990 $,Éxito
269,Atún en Lomitos en Aceite,Van Camp's, 160 g,5 990 $,Éxito
270,Espaguetis,Pastas La Muñeca, 500 g,2 790 $,Éxito
271,Espaguetis Planos,Monticello, 500 g,5 820 $,Éxito
272,Espaguetis,Doria,1 000 g,4 280 $,Éxito
273,Espaguetis,Conzazoni,1 000 g,12 200 $,Éxito
274,Espaguetis,Conzazoni, 500 g,5 870 $,Éxito
275,Espaguetis Planos,De Cecco, 500 g,11 970 $,Éxito
276,Espaguetis Integrales,Taeq, 250 g,6 510 $,Éxito
277,Espaguetis,Monticello, 500 g,5 580 $,Éxito
278,Espaguetis,Doria, 500 g,3 220 $,Éxito
279,Espaguetis,Corticella, 500 g,8 660 $,Éxito
280,Espaguetis Integrales,Doria, 500 g,4 300 $,Éxito
281,Espaguetis,Doria, 250 g,1 910 $,Éxito
282,Espaguetis,Pastas La Muñeca, 200 g, 950 $,Éxito
283,Espaguetis,Il Castello, 250 g,11 340 $,Éxito
284,Espaguetis,Pastas La Muñeca,1 000 g,4 610 $,Éxito
285,Espaguetis Gruesos,Conzazoni, 500 g,6 040 $,Éxito
286,Espaguetis Integrales,Conzazoni, 500 g,6 370 $,Éxito
287,Espaguetis Gruesos,Monticello, 500 g,5 790 $,Éxito
288,Espaguetis Planos,Barilla, 500 g,6 470 $,Éxito
289,Espaguetis en Tubos,Pastas La Muñeca, 250 g,1 460 $,Éxito
290,Espaguetis Gruesos,Conzazoni, 250 g,3 326 $,Éxito
291,Espaguetis,Barilla, 500 g,4 600 $,Éxito
292,Espaguetis,Casino, 500 g,7 490 $,Éxito
293,Espaguetis Integrales,Monticello, 500 g,6 950 $,Éxito
294,Espaguetis,Doria, 400 g,2 512 $,Éxito
295,Espaguetis,De Cecco, 500 g,7 990 $,Éxito
296,Espaguetis,Doria, 250 g,1 528 $,Éxito
297,Espaguetis Gruesos,Conzazoni,1 000 g,7 420 $,Éxito
298,Espaguetis,Doria, 250 g,1 680 $,Éxito
299,Espaguetis,Pastas La Muñeca, 250 g,1 750 $,Éxito
300,Espaguetis en Tubos,Doria, 250 g,1 700 $,Éxito
301,Espaguetis,Ekono, 250 g, 670 $,Éxito
302,Espaguetis,Doria, 500 g,4 440 $,Éxito
303,Arroz Arborio,Roland, 453 g,15 300 $,Éxito
304,Arroz con Coco,Éxito, 300 g,3 590 $,Éxito
305,Arroz Integral,Florhuila,1 000 g,5 020 $,Éxito
306,Arroz Integral,Roa,1 000 g,3 990 $,Éxito
307,Arroz Integral,Roa,1 000 g,5 990 $,Éxito
308,Arroz Integral,Taeq,1 000 g,3 670 $,Éxito
309,Arroz Jazmín,P & I Gourmet, 454 g,17 100 $,Éxito
310,Arroz Oriental,Éxito, 300 g,3 590 $,Éxito
311,Arroz para Sushi,La Sabana, 568 g,19 150 $,Éxito
312,Arroz para Sushi,Nishiki, 907 g,15 400 $,Éxito
313,Arroz Parbolizado,Doña Pepa,3 000 g,13 250 $,Éxito
314,Arroz Parbolizado,Doña Pepa,1 000 g,4 260 $,Éxito
315,Arroz Carnaroli,Castellano,1 000 g,18 000 $,Éxito
316,Arroz Salvaje,La Sabana, 454 g,36 650 $,Éxito
317,Arroz con Coco,Diana, 500 g,2 200 $,Éxito
318,Salsa de Tomate,Fruco, 380 g,7 880 $,Éxito
319,Salsa de Tomate,Éxito, 600 g,4 710 $,Éxito
320,Salsa de Tomate,Éxito, 800 g,6 150 $,Éxito
321,Salsa de Tomate,Ekono, 500 g,2 490 $,Éxito
322,Salsa de Tomate,La Constancia,1 000 g,7 688 $,Éxito
323,Salsa de Tomate,La Constancia, 600 g,5 453 $,Éxito
324,Salsa de Tomate Dietética,Fruco, 180 g,5 220 $,Éxito
325,Salsa de Tomate,La Constancia, 200 g,2 610 $,Éxito
326,Salsa de Tomate,La Constancia, 400 g,4 538 $,Éxito
327,Salsa de Tomate,Heinz, 397 g,7 670 $,Éxito
328,Salsa de Tomate,San Jorge, 600 g,6 720 $,Éxito
329,Salsa de Tomate,Fruco, 600 g,7 990 $,Éxito
330,Salsa de Tomate,Ekono,1 000 g,6 560 $,Éxito
331,Salsa de Tomate,Éxito, 200 g,2 910 $,Éxito
332,Salsa de Tomate,Éxito, 400 g,4 710 $,Éxito
333,Salsa de Tomate,Heinz, 397 g,8 080 $,Éxito
334,Salsa de Tomate,Heinz, 567 g,11 640 $,Éxito
335,Salsa de Tomate Dietética,Konfyt, 350 g,9 520 $,Éxito
336,Salsa de Tomate,Fruco, 400 g,4 160 $,Éxito
337,Salsa de Tomate,Fruco,1 000 g,9 990 $,Éxito
338,Salsa de Tomate,Le Select,1 000 g,6 590 $,Éxito
339,Salsa de Tomate,Shurfine, 227 g,3 307 $,Éxito
340,Salsa de Tomate,Casino, 190 g,5 490 $,Éxito
341,Salsa de Tomate,Doria, 200 g,3 070 $,Éxito
