nombre;marca;presentacion;precio;lugar;unidades;tipo;grupo;categoria_precio
Leche Larga Vida Descremada;Alquería;1000.0;3970;Éxito;ml;Leche;Alimentos Frescos;Medio
Leche Larga Vida Descremada Deslactosada;Finesse;3300.0;10590;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche Pasteurizada Descremada;Colanta;1000.0;2280;Éxito;ml;Leche;Alimentos Frescos;Bajo
Leche Larga Vida Descremada Deslactosada;Alpina;1000.0;7520;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche Larga Vida Descremada Deslactosada;Alpina;200.0;2564;Éxito;ml;Leche;Alimentos Frescos;Bajo
Leche Larga Vida Descremada Deslactosada;Alpina;3600.0;20245;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Descremada Deslactosada;Alpina;1000.0;4310;Éxito;ml;Leche;Alimentos Frescos;Medio
Leche Larga Vida Descremada Deslactosada;Alpina;6600.0;21150;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Semidescremada Deslactosada;Alquería;6600.0;16080;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Semidescremada Deslactosada;Alquería;1000.0;4200;Éxito;ml;Leche;Alimentos Frescos;Medio
Leche Larga Vida Semidescremada Deslactosada;Zymil;6600.0;16390;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Semidescremada Deslactosada;Colanta;1200.0;4180;Éxito;ml;Leche;Alimentos Frescos;Medio
Leche Larga Vida Semidescremada Deslactosada;Colanta;5400.0;18050;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Descremada Deslactosada;Alquería;6600.0;21400;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Semidescremada Deslactosada;Alquería;675.0;3160;Éxito;ml;Leche;Alimentos Frescos;Bajo
Leche Larga Vida Entera;Éxito;6600.0;17050;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Entera;Alpina;4000.0;16200;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Entera;Alquería;6600.0;19150;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Entera;Parmalat;6600.0;20750;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Entera;Colanta;1200.0;4060;Éxito;ml;Leche;Alimentos Frescos;Medio
Leche Larga Vida Entera;Alquería;675.0;3690;Éxito;ml;Leche;Alimentos Frescos;Bajo
Leche Larga Vida Descremada Deslactosada;Finesse;1000.0;3656;Éxito;ml;Leche;Alimentos Frescos;Bajo
Leche Larga Vida Semidescremada;Alquería;1200.0;4400;Éxito;ml;Leche;Alimentos Frescos;Medio
Leche Larga Vida Semidescremada Deslactosada;Colanta;6600.0;17050;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Semidescremada;Éxito;5400.0;11620;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche Pasteurizada Semidescremada Deslactosada;Colanta;6300.0;16200;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche Pasteurizada Descremada;Colanta;5400.0;19150;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Descremada Deslactosada;Colanta;6300.0;20450;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Entera;Ekono;4500.0;7800;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche Larga Vida Descremada;Alquería;6600.0;20750;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Semidescremada Deslactosada;Alquería;6600.0;18000;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Entera;Colanta;6300.0;19250;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Descremada;Alquería;7800.0;25850;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche Pasteurizada Entera;Colanta;1000.0;2250;Éxito;ml;Leche;Alimentos Frescos;Bajo
Leche Pasteurizada Semidescremada Deslactosada;Colanta;1000.0;1744;Éxito;ml;Leche;Alimentos Frescos;Bajo
Leche Pasteurizada Entera;Colanta;5400.0;11360;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche Larga Vida Semidescremada Deslactosada;Alpina;4000.0;16400;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Semidescremada Deslactosada;Alquería;7800.0;25500;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Entera;Alquería;6600.0;39150;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Entera;Alquería;7800.0;41900;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Entera;Alquería;1000.0;7450;Éxito;ml;Leche;Alimentos Frescos;Medio-Alto
Leche Larga Vida Semidescremada Deslactosada;Éxito;5400.0;21480;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche Larga Vida Semidescremada;Colanta;6600.0;36400;Éxito;ml;Leche;Alimentos Frescos;Alto
Leche en Polvo Descremada;Proleche;380.0;8540;Éxito;g;Leche;Alimentos Frescos;Medio-Alto
Leche en Polvo Semidescremada Deslactosada;Zymil;380.0;10160;Éxito;g;Leche;Alimentos Frescos;Medio-Alto
Leche en Polvo;El Rodeo;380.0;7920;Éxito;g;Leche;Alimentos Frescos;Medio-Alto
Leche en Polvo Entera;El Rodeo;900.0;15900;Éxito;g;Leche;Alimentos Frescos;Alto
